sample,read_type,count
e00290-C,filtered,10
e00290-C,denoisedF,10
e00290-C,denoisedR,10
e00290-C,merged,0
e00290-C,nonchim,0
e00291-A,input,3054
e00291-A,filtered,3047
e00291-A,denoisedF,3045
e00291-A,denoisedR,3045
e00291-A,merged,3043
e00291-A,nonchim,2293
e00291-B,input,17692
e00291-B,filtered,17656
e00291-B,denoisedF,17638
e00291-B,denoisedR,17613
e00291-B,merged,17246
e00291-B,nonchim,16387
e00291-C,input,5609
e00291-C,filtered,5599
e00291-C,denoisedF,5597
e00291-C,denoisedR,5587
e00291-C,merged,5578
e00291-C,nonchim,5493
e00292-A,input,59
e00292-A,filtered,59
e00292-A,denoisedF,56
e00292-A,denoisedR,58
e00292-A,merged,44
e00292-A,nonchim,44
e00292-B,input,177
e00292-B,filtered,177
e00292-B,denoisedF,174
e00292-B,denoisedR,171
e00292-B,merged,169
e00292-B,nonchim,169
e00292-C,input,484
e00292-C,filtered,484
e00292-C,denoisedF,483
e00292-C,denoisedR,483
e00292-C,merged,78
e00292-C,nonchim,76
e00293-A,input,3974
e00293-A,filtered,3971
e00293-A,denoisedF,3971
e00293-A,denoisedR,3967
e00293-A,merged,3955
e00293-A,nonchim,3227
e00293-B,input,14328
e00293-B,filtered,14305
e00293-B,denoisedF,14298
e00293-B,denoisedR,14265
e00293-B,merged,14229
e00293-B,nonchim,12563
e00293-C,input,14594
e00293-C,filtered,14566
e00293-C,denoisedF,14561
e00293-C,denoisedR,14537
e00293-C,merged,14480
e00293-C,nonchim,14068
e00294-A,input,5619
e00294-A,filtered,5605
e00294-A,denoisedF,5605
e00294-A,denoisedR,5598
e00294-A,merged,5594
e00294-A,nonchim,5071
e00294-B,input,12594
e00294-B,filtered,12575
e00294-B,denoisedF,12556
e00294-B,denoisedR,12547
e00294-B,merged,12512
e00294-B,nonchim,12358
e00294-C,input,16162
e00294-C,filtered,16137
e00294-C,denoisedF,16129
e00294-C,denoisedR,16107
e00294-C,merged,16021
e00294-C,nonchim,15398
e00295-A,input,8329
e00295-A,filtered,8326
e00295-A,denoisedF,8325
e00295-A,denoisedR,8315
e00295-A,merged,8314
e00295-A,nonchim,8172
e00295-B,input,15963
e00295-B,filtered,15952
e00295-B,denoisedF,15946
e00295-B,denoisedR,15926
e00295-B,merged,15916
e00295-B,nonchim,15710
e00295-C,input,16478
e00295-C,filtered,16461
e00295-C,denoisedF,16451
e00295-C,denoisedR,16455
e00295-C,merged,16254
e00295-C,nonchim,16136
e00296-A,input,2348
e00296-A,filtered,2343
e00296-A,denoisedF,2316
e00296-A,denoisedR,2309
e00296-A,merged,2286
e00296-A,nonchim,2277
e00296-B,input,7714
e00296-B,filtered,7697
e00296-B,denoisedF,7605
e00296-B,denoisedR,7654
e00296-B,merged,7517
e00296-B,nonchim,7295
e00296-C,input,42473
e00296-C,filtered,42359
e00296-C,denoisedF,42277
e00296-C,denoisedR,42242
e00296-C,merged,41855
e00296-C,nonchim,41855
e00297-A,input,8483
e00297-A,filtered,8474
e00297-A,denoisedF,8456
e00297-A,denoisedR,8454
e00297-A,merged,8356
e00297-A,nonchim,7854
e00297-B,input,20757
e00297-B,filtered,20725
e00297-B,denoisedF,20691
e00297-B,denoisedR,20658
e00297-B,merged,20499
e00297-B,nonchim,19644
e00297-C,input,19880
e00297-C,filtered,19865
e00297-C,denoisedF,19827
e00297-C,denoisedR,19808
e00297-C,merged,19674
e00297-C,nonchim,18928
e00298-A,input,17498
e00298-A,filtered,17468
e00298-A,denoisedF,17447
e00298-A,denoisedR,17402
e00298-A,merged,7494
e00298-A,nonchim,7042
e00298-B,input,33447
e00298-B,filtered,33335
e00298-B,denoisedF,33285
e00298-B,denoisedR,33255
e00298-B,merged,18190
e00298-B,nonchim,16672
e00298-C,input,20625
e00298-C,filtered,20599
e00298-C,denoisedF,20574
e00298-C,denoisedR,20538
e00298-C,merged,20447
e00298-C,nonchim,19987
e00299-A,input,8046
e00299-A,filtered,8040
e00299-A,denoisedF,8026
e00299-A,denoisedR,8019
e00299-A,merged,7974
e00299-A,nonchim,7685
e00299-B,input,20314
e00299-B,filtered,20286
e00299-B,denoisedF,20255
e00299-B,denoisedR,20240
e00299-B,merged,20105
e00299-B,nonchim,19465
e00299-C,input,18856
e00299-C,filtered,18843
e00299-C,denoisedF,18818
e00299-C,denoisedR,18796
e00299-C,merged,18708
e00299-C,nonchim,17484
e00300-A,input,15314
e00300-A,filtered,15282
e00300-A,denoisedF,15277
e00300-A,denoisedR,15257
e00300-A,merged,2066
e00300-A,nonchim,2066
e00300-B,input,2839
e00300-B,filtered,2835
e00300-B,denoisedF,2833
e00300-B,denoisedR,2833
e00300-B,merged,2831
e00300-B,nonchim,2831
e00300-C,input,8592
