"","bay_year","bay_year2","intx","habitat","type","place_name","date","julian","latitude","longitude","year"
"19","2021_KAHS_B_1","KAHS_B_2021","kelp_edna","kelp","edna","Kah shakes",2021-06-12,163,55.066147,-130.989508,2021
"20","2021_KAHS_B_2","KAHS_B_2021","kelp_edna","kelp","edna","Kah shakes",2021-06-12,163,55.066147,-130.989508,2021
"21","2021_KAHS_B_3","KAHS_B_2021","kelp_edna","kelp","edna","Kah shakes",2021-06-12,163,55.066147,-130.989508,2021
"22","2021_MOIR_A_1","MOIR_A_2021","eelgrass_edna","eelgrass","edna","Moira sound",2021-06-22,173,54.9711,-132.0924,2021
"23","2021_MOIR_A_2","MOIR_A_2021","eelgrass_edna","eelgrass","edna","Moira sound",2021-06-22,173,54.9711,-132.0924,2021
"24","2021_MOIR_A_3","MOIR_A_2021","eelgrass_edna","eelgrass","edna","Moira sound",2021-06-22,173,54.9711,-132.0924,2021
"25","2021_MOIR_B_1","MOIR_B_2021","kelp_edna","kelp","edna","Moira sound",2021-06-24,175,54.985511,-132.109731,2021
"26","2021_MOIR_B_2","MOIR_B_2021","kelp_edna","kelp","edna","Moira sound",2021-06-24,175,54.985511,-132.109731,2021
"27","2021_MOIR_B_3","MOIR_B_2021","kelp_edna","kelp","edna","Moira sound",2021-06-24,175,54.985511,-132.109731,2021
"28","2021_NICH_A_1","NICH_A_2021","eelgrass_edna","eelgrass","edna","Nichols Bay",2021-06-26,177,54.740107,-132.153373,2021
"29","2021_NICH_A_2","NICH_A_2021","eelgrass_edna","eelgrass","edna","Nichols Bay",2021-06-26,177,54.740107,-132.153373,2021
"30","2021_NICH_B_1","NICH_B_2021","kelp_edna","kelp","edna","Nichols Bay",2021-06-25,176,54.726046,-132.124284,2021
"31","2021_NICH_B_2","NICH_B_2021","kelp_edna","kelp","edna","Nichols Bay",2021-06-25,176,54.726046,-132.124284,2021
"32","2021_NICH_B_3","NICH_B_2021","kelp_edna","kelp","edna","Nichols Bay",2021-06-25,176,54.726046,-132.124284,2021
"33","2021_REEF_A_1","REEF_A_2021","eelgrass_edna","eelgrass","edna","Reef harbor",2021-06-10,161,54.9684,-131.2492,2021
"34","2021_REEF_A_2","REEF_A_2021","eelgrass_edna","eelgrass","edna","Reef harbor",2021-06-10,161,54.9684,-131.2492,2021
"35","2021_REEF_A_3","REEF_A_2021","eelgrass_edna","eelgrass","edna","Reef harbor",2021-06-10,161,54.9684,-131.2492,2021
"36","2021_REEF_B_1","REEF_B_2021","kelp_edna","kelp","edna","Reef harbor",2021-06-13,164,54.974693,-131.255107,2021
"37","2021_REEF_B_2","REEF_B_2021","kelp_edna","kelp","edna","Reef harbor",2021-06-13,164,54.974693,-131.255107,2021
"38","2021_REEF_B_3","REEF_B_2021","kelp_edna","kelp","edna","Reef harbor",2021-06-13,164,54.974693,-131.255107,2021
"39","2021_SYLB_A_1","SYLB_A_2021","eelgrass_edna","eelgrass","edna","Sylburn harbor",2021-06-08,159,55.179058,-131.582105,2021
"40","2021_SYLB_A_3","SYLB_A_2021","eelgrass_edna","eelgrass","edna","Sylburn harbor",2021-06-08,159,55.179058,-131.582105,2021
"41","2021_SYLB_B_1","SYLB_B_2021","kelp_edna","kelp","edna","Sylburn harbor",2021-06-09,160,55.176,-131.5972,2021
"42","2021_SYLB_B_2","SYLB_B_2021","kelp_edna","kelp","edna","Sylburn harbor",2021-06-09,160,55.176,-131.5972,2021
"43","2021_SYLB_B_3","SYLB_B_2021","kelp_edna","kelp","edna","Sylburn harbor",2021-06-09,160,55.176,-131.5972,2021
"44","2021_TAHB_A_2","TAHB_A_2021","mixed_edna","mixed","edna","Tah Bay",2021-06-27,178,54.830481,-132.286086,2021
"45","2021_TAHB_A_3","TAHB_A_2021","mixed_edna","mixed","edna","Tah Bay",2021-06-27,178,54.830481,-132.286086,2021
"46","2022_ABES_A_1","ABES_A_2022","eelgrass_edna","eelgrass","edna","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"47","2022_ABES_A_2","ABES_A_2022","eelgrass_edna","eelgrass","edna","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"48","2022_ABES_A_3","ABES_A_2022","eelgrass_edna","eelgrass","edna","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"49","2022_BLAQ_A_1","BLAQ_A_2022","mixed_edna","mixed","edna","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"50","2022_BLAQ_A_2","BLAQ_A_2022","mixed_edna","mixed","edna","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"51","2022_BLAQ_A_3","BLAQ_A_2022","mixed_edna","mixed","edna","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"52","2022_CLAM_A_1","CLAM_A_2022","mixed_edna","mixed","edna","Clam island",2022-06-27,178,55.517981,-133.158075,2022
"53","2022_CLAM_A_2","CLAM_A_2022","mixed_edna","mixed","edna","Clam island",2022-06-27,178,55.517981,-133.158075,2022
